ID,Name,Surname,Age,GPA
456122,Sheri Scott,Johnson,82,2.15
256952,Melanie Kim,Alexander,20,1.25
981883,Leah Anderson,Cortez,22,2.0
885462,Joel Williams,Harris,27,1.23
435370,Amy Prince,Weaver,78,1.42
215444,Kathy Adams,Morgan,56,0.31
231849,Louis Roberts,Morgan,20,1.85
436237,Mrs. Lacey Cooper MD,Kelly,51,0.09
679860,Kayla Wright,Carter,24,2.21
512061,Anthony Norris,Thompson,32,0.27
366856,Christopher Phillips,Nguyen,76,1.67
800222,Robert Morgan,Kelly,44,3.46
988355,Brian Craig,Huerta,95,3.03
933607,Jonathan Hall,Hernandez,55,0.09
266899,Michael Robbins,Scott,78,1.86
310841,Mrs. Sarah Harrison,Krause,61,2.35
162271,Anthony Hayes,Snyder,59,2.13
717176,Rachael Anderson,Davenport,85,1.59
269354,Michael Wilson,Hall,45,1.31
666716,Nicole Dunn,Baker,30,1.85
444483,Kellie Steele,Perez,82,2.49
584965,Rachel Weber,Gill,96,3.04
822823,Robert Gibson,Hunter,59,0.35
102002,Laura Hunter,Moore,60,3.4
514000,Bradley Jordan,Hernandez,57,1.07
979279,Charlene Wall,Barnett,63,2.93
286661,Terri Meyers,Chandler,72,2.44
169564,Maria Bradley,Wilkins,33,3.64
338353,Jacob Watson,Hoffman,85,3.6
697980,Valerie Caldwell,Acosta,62,2.84
507793,Matthew Hill,Davenport,53,0.39
786207,Sherri Carter,Flowers,78,2.92
873707,Andrew Robinson,Dean,39,2.03
833424,Michael Lawson,Hall,81,2.25
132000,Carla Wolf,Leonard,57,0.14
460207,Martha Bradford,Perez,64,3.78
194461,Heather Shaw,Lopez,63,3.95
907858,Breanna Gibson,Colon,49,2.34
963380,Joseph Todd,Ward,100,1.36
920364,Sylvia Pennington,Marshall,21,0.9
363251,Martha Shaffer,George,60,1.71
977258,Michael Underwood,Kennedy,66,1.99
341323,Rebecca Walker,Garcia,27,1.75
678677,Joshua Brady,Fox,42,1.92
310731,Christopher Mejia,West,16,0.65
449800,Jeremy Johnson,Romero,62,1.81
744508,Timothy Barton,Moore,20,1.56
883670,Emily Nash,Pierce,20,1.12
289276,Maria Blevins,Browning,63,0.47
120397,Debra Duke,Cox,63,0.13
798401,Dustin Morris,Aguirre,35,0.36
440363,Mitchell Johnston PhD,Welch,37,3.48
539110,Douglas Jackson,White,40,3.43
569312,Drew Griffith,Dean,77,1.69
831667,Claire Cox,Ramos,22,0.72
670357,Jamie Alvarez,Miller,39,2.23
670654,Luis Hatfield,Lopez,98,3.56
893960,James Snyder,Jenkins,51,1.47
409429,Catherine Martin,Bailey,69,3.69
584837,Kathleen Wright,Edwards,62,0.34
712426,Clinton Duran MD,Flores,61,2.27
122103,William Good,Smith,87,2.48
269943,Rebecca Crane,Frazier,95,3.43
898590,Heather Campos,Rich,90,1.59
922191,John Cabrera,Johnson,45,0.95
975611,Wendy Spencer,Becker,93,0.56
740466,Anthony Wilkinson,Graham,88,0.33
999874,Stephen Gutierrez,Williams,93,1.48
932289,Lauren Diaz,Guzman,72,1.78
658592,Megan Baker,Evans,64,3.99
206574,Erica Griffin,Phillips,87,2.6
